식별자,스타일,서브스타일,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_핏
1029658,로맨틱,,핑크,탑,긴팔,우븐,무지,라운드넥,루즈,미니,핑크,스커트,우븐,루즈
102998,로맨틱,스트리트,와인,탑,긴팔,울/캐시미어,플로럴,라운드넥,루즈,발목,블랙,팬츠,우븐,노멀
1034637,로맨틱,,라벤더,블라우스,반팔,우븐,무지,스퀘어넥,노멀,미디,네이비,스커트,시폰,루즈
1035119,로맨틱,,화이트,블라우스,반팔,우븐,체크,스퀘어넥,노멀,미니,옐로우,스커트,우븐,노멀
1035152,로맨틱,,그레이,블라우스,반팔,우븐,무지,,루즈,,화이트,,,
1038016,로맨틱,스트리트,실버,블라우스,반팔,우븐,체크,스퀘어넥,노멀,미니,골드,스커트,우븐,스키니
1038795,로맨틱,스트리트,화이트,블라우스,긴팔,우븐,플로럴,터틀넥,노멀,발목,블루,청바지,데님,스키니
1039048,로맨틱,소피스트케이티드,핑크,블라우스,반팔,우븐,무지,라운드넥,루즈,발목,화이트,팬츠,우븐,노멀
1039368,로맨틱,페미닌,블랙,블라우스,긴팔,"시폰, 레이스",도트,유넥,루즈,발목,블루,청바지,데님,스키니
1039548,로맨틱,스트리트,핑크,,민소매,,,,,미니,스카이블루,청바지,데님,노멀
1041073,로맨틱,모던,화이트,티셔츠,긴팔,저지,무지,,타이트,미니,퍼플,팬츠,우븐,루즈
104170,로맨틱,페미닌,민트,블라우스,반팔,"시폰, 메시",무지,,노멀,미니,화이트,스커트,우븐,스키니
104331,로맨틱,스트리트,옐로우,블라우스,반팔,시폰,무지,라운드넥,노멀,발목,블루,청바지,데님,노멀
1043728,로맨틱,,핑크,블라우스,긴팔,우븐,무지,,노멀,미니,블랙,스커트,우븐,노멀
1043919,로맨틱,,베이지,블라우스,7부소매,우븐,무지,스퀘어넥,루즈,미니,블랙,스커트,니트,노멀
1046263,로맨틱,소피스트케이티드,화이트,니트웨어,긴팔,니트,,라운드넥,타이트,발목,블랙,팬츠,우븐,노멀
104683,로맨틱,스트리트,블랙,블라우스,반팔,우븐,무지,라운드넥,노멀,미니,오렌지,팬츠,"린넨, 우븐",루즈
1047258,로맨틱,스트리트,핑크,니트웨어,긴팔,니트,무지,터틀넥,노멀,발목,화이트,팬츠,우븐,노멀
1047701,로맨틱,모던,화이트,니트웨어,긴팔,니트,하트,라운드넥,타이트,미니,블랙,스커트,우븐,노멀
1047833,로맨틱,리조트,화이트,니트웨어,긴팔,니트,무지,브이넥,루즈,니렝스,실버,스커트,울/캐시미어,노멀
104800,로맨틱,리조트,그린,블라우스,반팔,우븐,,라운드넥,노멀,미디,브라운,스커트,린넨,노멀
1048202,로맨틱,,화이트,니트웨어,긴팔,니트,무지,브이넥,노멀,미니,화이트,스커트,우븐,노멀
1048275,로맨틱,,블랙,니트웨어,긴팔,니트,무지,라운드넥,노멀,,,스커트,우븐,노멀
1048537,로맨틱,,화이트,니트웨어,긴팔,니트,무지,라운드넥,노멀,발목,베이지,스커트,메시,와이드
1048622,로맨틱,페미닌,라벤더,니트웨어,반팔,니트,무지,라운드넥,노멀,미니,화이트,스커트,"레이스, 우븐",노멀
1049612,로맨틱,섹시,핑크,니트웨어,긴팔,니트,무지,라운드넥,타이트,미니,화이트,스커트,우븐,노멀
1049715,로맨틱,컨트리,오렌지,니트웨어,긴팔,니트,무지,라운드넥,오버사이즈,미디,베이지,스커트,우븐,루즈
1049764,로맨틱,,화이트,니트웨어,긴팔,니트,무지,라운드넥,루즈,미니,,스커트,데님,노멀
1049882,로맨틱,컨트리,실버,니트웨어,긴팔,니트,무지,라운드넥,오버사이즈,미니,그레이,스커트,우븐,와이드
1050286,로맨틱,웨스턴,블랙,니트웨어,긴팔,니트,무지,유넥,루즈,미니,베이지,스커트,가죽,노멀
1050701,로맨틱,컨트리,스카이블루,니트웨어,긴팔,니트,무지,,오버사이즈,미디,화이트,스커트,시폰,와이드
1050713,로맨틱,스트리트,화이트,티셔츠,긴팔,퍼,무지,라운드넥,루즈,미니,핑크,스커트,울/캐시미어,노멀
105123,로맨틱,리조트,블랙,블라우스,7부소매,우븐,그래픽,라운드넥,노멀,,화이트,,,
1051973,로맨틱,스트리트,베이지,티셔츠,반팔,니트,무지,브이넥,노멀,미니,화이트,스커트,린넨,노멀
1051987,로맨틱,스트리트,스카이블루,블라우스,반팔,우븐,도트,오프숄더,루즈,미디,화이트,스커트,우븐,노멀
1052085,로맨틱,,옐로우,블라우스,반팔,린넨,무지,유넥,노멀,미디,화이트,스커트,린넨,노멀
1052279,로맨틱,섹시,핑크,블라우스,민소매,우븐,무지,오프숄더,노멀,발목,스카이블루,청바지,데님,노멀
105241,로맨틱,스트리트,핑크,블라우스,7부소매,저지,,,루즈,,블랙,,,
105257,로맨틱,소피스트케이티드,브라운,블라우스,7부소매,울/캐시미어,무지,라운드넥,루즈,,카키,,,
105258,로맨틱,소피스트케이티드,브라운,블라우스,7부소매,울/캐시미어,무지,라운드넥,루즈,니렝스,카키,스커트,,노멀
105260,로맨틱,소피스트케이티드,브라운,블라우스,7부소매,울/캐시미어,무지,라운드넥,루즈,,카키,,,
105263,로맨틱,소피스트케이티드,브라운,블라우스,7부소매,울/캐시미어,무지,라운드넥,루즈,,카키,,,
1052830,로맨틱,페미닌,핑크,블라우스,반팔,우븐,무지,,노멀,미니,화이트,스커트,레이스,스키니
1052852,로맨틱,페미닌,그레이,블라우스,반팔,우븐,,유넥,노멀,,화이트,,,
1052853,로맨틱,페미닌,핑크,블라우스,반팔,우븐,무지,,노멀,미니,화이트,스커트,레이스,스키니
1052866,로맨틱,페미닌,블랙,블라우스,긴팔,시폰,플로럴,브이넥,노멀,미니,,스커트,우븐,노멀
1053717,로맨틱,모던,블랙,블라우스,반팔,우븐,플로럴,라운드넥,노멀,발목,,청바지,데님,노멀
1053766,로맨틱,리조트,화이트,블라우스,7부소매,시폰,플로럴,브이넥,루즈,미니,스카이블루,청바지,데님,노멀
105409,로맨틱,리조트,화이트,블라우스,7부소매,우븐,무지,노카라,루즈,발목,화이트,팬츠,울/캐시미어,노멀
1054303,로맨틱,,화이트,블라우스,반팔,시폰,플로럴,오프숄더,노멀,미니,화이트,팬츠,우븐,스키니
1054858,로맨틱,페미닌,핑크,니트웨어,긴팔,니트,무지,터틀넥,노멀,미디,화이트,스커트,시폰,루즈
105512,로맨틱,소피스트케이티드,베이지,블라우스,반팔,우븐,,,루즈,발목,화이트,팬츠,울/캐시미어,노멀
1059470,로맨틱,,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,발목,화이트,스커트,우븐,노멀
105971,로맨틱,스트리트,핑크,블라우스,긴팔,,플로럴,,노멀,발목,,청바지,데님,벨보텀
106189,로맨틱,스트리트,핑크,블라우스,긴팔,시폰,믹스,,노멀,발목,,청바지,데님,노멀
1064228,로맨틱,스트리트,오렌지,니트웨어,긴팔,니트,무지,,루즈,미니,카키,스커트,우븐,노멀
106424,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,시폰,무지,,노멀,니렝스,화이트,스커트,"울/캐시미어, 우븐",노멀
1064355,로맨틱,스트리트,핑크,니트웨어,긴팔,니트,무지,브이넥,루즈,미디,화이트,스커트,우븐,노멀
106436,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,시폰,무지,,노멀,니렝스,화이트,스커트,"울/캐시미어, 우븐",노멀
1064360,로맨틱,스트리트,핑크,니트웨어,긴팔,니트,무지,브이넥,루즈,미디,화이트,스커트,우븐,노멀
106437,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,시폰,무지,,노멀,니렝스,화이트,스커트,"울/캐시미어, 우븐",노멀
1064678,로맨틱,스트리트,핑크,니트웨어,긴팔,니트,무지,라운드넥,노멀,발목,블루,청바지,데님,노멀
106473,로맨틱,소피스트케이티드,화이트,블라우스,반팔,시폰,플로럴,,노멀,미디,베이지,스커트,"울/캐시미어, 우븐",노멀
1064966,로맨틱,,핑크,블라우스,반팔,우븐,무지,,노멀,발목,화이트,팬츠,우븐,스키니
1065006,로맨틱,모던,핑크,니트웨어,7부소매,니트,무지,라운드넥,오버사이즈,발목,화이트,팬츠,우븐,와이드
1065010,로맨틱,모던,핑크,니트웨어,7부소매,니트,무지,라운드넥,오버사이즈,발목,,팬츠,우븐,와이드
1065096,로맨틱,스트리트,그린,니트웨어,긴팔,"니트, 울/캐시미어",무지,,타이트,니렝스,블랙,스커트,우븐,와이드
1065126,로맨틱,스트리트,베이지,블라우스,반팔,"레이스, 우븐",무지,,노멀,미디,라벤더,스커트,"시폰, 우븐",루즈
1066857,로맨틱,,핑크,니트웨어,긴팔,"니트, 시폰",,브이넥,노멀,미디,화이트,팬츠,우븐,노멀
1067197,로맨틱,스트리트,화이트,니트웨어,긴팔,니트,,브이넥,노멀,발목,스카이블루,청바지,데님,스키니
1067972,로맨틱,스트리트,골드,니트웨어,긴팔,니트,무지,라운드넥,노멀,미디,베이지,스커트,시폰,
1069544,로맨틱,스트리트,옐로우,티셔츠,반팔,니트,무지,스퀘어넥,노멀,발목,블루,청바지,데님,노멀
1069587,로맨틱,스트리트,그린,티셔츠,긴팔,니트,무지,스위트하트,노멀,미니,,청바지,데님,와이드
1069596,로맨틱,밀리터리,화이트,티셔츠,반팔,니트,무지,스위트하트,노멀,발목,그레이,팬츠,우븐,와이드
1069646,로맨틱,스트리트,퍼플,티셔츠,반팔,니트,무지,오프숄더,노멀,발목,블루,청바지,데님,노멀
1069673,로맨틱,스트리트,핑크,티셔츠,반팔,니트,무지,스퀘어넥,노멀,발목,블루,청바지,데님,노멀
1069833,로맨틱,리조트,라벤더,티셔츠,반팔,시폰,무지,,노멀,미니,화이트,팬츠,린넨,와이드
106984,로맨틱,소피스트케이티드,화이트,블라우스,캡,시폰,무지,,노멀,니렝스,핑크,스커트,우븐,스키니
1069958,로맨틱,리조트,라벤더,티셔츠,반팔,니트,스트라이프,브이넥,노멀,,화이트,,,
1069992,로맨틱,스트리트,블루,티셔츠,반팔,니트,무지,브이넥,타이트,발목,스카이블루,청바지,데님,스키니
1070033,로맨틱,리조트,브라운,탑,민소매,니트,무지,,노멀,미니,베이지,팬츠,린넨,노멀
1070102,로맨틱,스트리트,민트,티셔츠,반팔,니트,무지,라운드넥,노멀,,화이트,팬츠,우븐,스키니
1070112,로맨틱,모던,화이트,티셔츠,반팔,니트,무지,오프숄더,타이트,미니,네이비,스커트,데님,노멀
1070186,로맨틱,스트리트,화이트,티셔츠,반팔,니트,무지,유넥,노멀,,스카이블루,청바지,데님,노멀
1070192,로맨틱,스트리트,화이트,티셔츠,반팔,니트,무지,유넥,노멀,,스카이블루,청바지,데님,노멀
1070204,로맨틱,스트리트,핑크,티셔츠,반팔,니트,무지,브이넥,루즈,미니,스카이블루,청바지,데님,와이드
1070262,로맨틱,스트리트,화이트,티셔츠,7부소매,니트,무지,라운드넥,루즈,발목,화이트,팬츠,데님,노멀
1070292,로맨틱,컨트리,베이지,니트웨어,반팔,니트,무지,라운드넥,노멀,,베이지,팬츠,우븐,와이드
107031,로맨틱,,화이트,블라우스,민소매,실크,무지,,노멀,,블랙,,,
107156,로맨틱,소피스트케이티드,화이트,블라우스,반팔,시폰,플로럴,,노멀,니렝스,베이지,스커트,우븐,스키니
107160,로맨틱,소피스트케이티드,화이트,블라우스,반팔,시폰,플로럴,,노멀,니렝스,베이지,스커트,우븐,스키니
107163,로맨틱,,,블라우스,,시폰,플로럴,,노멀,,베이지,,,
107166,로맨틱,소피스트케이티드,화이트,블라우스,반팔,시폰,플로럴,,노멀,니렝스,핑크,스커트,우븐,스키니
107167,로맨틱,,화이트,블라우스,반팔,시폰,플로럴,,노멀,,핑크,,,
1071718,로맨틱,,스카이블루,니트웨어,긴팔,니트,체크,,오버사이즈,미디,화이트,스커트,레이스,와이드
107222,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,시폰,무지,,노멀,니렝스,,스커트,우븐,스키니
107231,로맨틱,,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,,화이트,,,
107232,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107233,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107234,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107235,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107239,로맨틱,,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,,화이트,,,
107241,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107242,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,화이트,스커트,우븐,스키니
107244,로맨틱,소피스트케이티드,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,니렝스,,스커트,우븐,스키니
107245,로맨틱,,스카이블루,블라우스,반팔,실크,무지,스위트하트,루즈,,화이트,,,
107270,로맨틱,,스카이블루,블라우스,민소매,실크,무지,라운드넥,루즈,,화이트,,,
107283,로맨틱,,스카이블루,블라우스,민소매,실크,무지,라운드넥,루즈,,화이트,,,
107285,로맨틱,소피스트케이티드,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107286,로맨틱,소피스트케이티드,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107289,로맨틱,,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,,화이트,,,
107290,로맨틱,,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,,화이트,,,
107291,로맨틱,,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,,화이트,,,
107295,로맨틱,소피스트케이티드,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107296,로맨틱,소피스트케이티드,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107297,로맨틱,소피스트케이티드,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107300,로맨틱,,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,,화이트,,,
107301,로맨틱,,핑크,블라우스,반팔,실크,무지,라운드넥,노멀,,화이트,,,
107541,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,우븐,스트라이프,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107542,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,우븐,스트라이프,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107544,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,우븐,스트라이프,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107551,로맨틱,소피스트케이티드,스카이블루,블라우스,민소매,우븐,스트라이프,라운드넥,노멀,니렝스,화이트,스커트,우븐,스키니
107666,로맨틱,소피스트케이티드,핑크,블라우스,7부소매,실크,무지,,노멀,니렝스,화이트,스커트,우븐,스키니
107675,로맨틱,소피스트케이티드,핑크,블라우스,7부소매,실크,무지,,노멀,니렝스,,스커트,우븐,스키니
107676,로맨틱,소피스트케이티드,핑크,블라우스,7부소매,실크,무지,,노멀,니렝스,,스커트,우븐,스키니
107680,로맨틱,소피스트케이티드,핑크,블라우스,7부소매,실크,무지,,노멀,니렝스,화이트,스커트,우븐,스키니
1077937,로맨틱,스트리트,라벤더,블라우스,긴팔,우븐,무지,라운드넥,루즈,발목,화이트,팬츠,우븐,스키니
1078468,로맨틱,소피스트케이티드,화이트,블라우스,민소매,시폰,무지,스퀘어넥,,발목,스카이블루,팬츠,우븐,와이드
1079706,로맨틱,페미닌,화이트,탑,민소매,저지,무지,유넥,타이트,미니,라벤더,스커트,우븐,노멀
1081775,로맨틱,,베이지,니트웨어,긴팔,니트,무지,터틀넥,루즈,미디,핑크,스커트,우븐,루즈
1084167,로맨틱,,베이지,블라우스,긴팔,레이스,,스퀘어넥,노멀,,퍼플,,,
1084195,로맨틱,,핑크,블라우스,반팔,,무지,유넥,루즈,,스카이블루,,,
1084746,로맨틱,,베이지,블라우스,캡,린넨,,스퀘어넥,노멀,발목,베이지,팬츠,우븐,루즈
1084861,로맨틱,,베이지,티셔츠,7부소매,,무지,,타이트,맥시,블랙,팬츠,,와이드
1084920,로맨틱,,스카이블루,블라우스,반팔,,,유넥,루즈,발목,화이트,팬츠,,와이드
1085055,로맨틱,페미닌,화이트,블라우스,7부소매,,,스위트하트,노멀,미디,브라운,팬츠,,와이드
1085120,로맨틱,,베이지,니트웨어,반팔,니트,,라운드넥,루즈,미니,민트,팬츠,린넨,노멀
1085286,로맨틱,소피스트케이티드,화이트,블라우스,반팔,"시폰, 실크",무지,,노멀,발목,화이트,팬츠,울/캐시미어,노멀
1085931,로맨틱,,화이트,티셔츠,반팔,저지,,라운드넥,노멀,맥시,옐로우,팬츠,우븐,벨보텀
1087205,로맨틱,리조트,와인,블라우스,반팔,우븐,무지,브이넥,노멀,미니,화이트,팬츠,우븐,와이드
108743,로맨틱,모던,핑크,셔츠,긴팔,,,,노멀,미디,블랙,스커트,우븐,노멀
1088267,로맨틱,소피스트케이티드,네이비,블라우스,반팔,우븐,깅엄,브이넥,노멀,발목,화이트,팬츠,우븐,노멀
1088315,로맨틱,스트리트,옐로우,블라우스,반팔,우븐,무지,브이넥,루즈,발목,블루,청바지,데님,와이드
1088791,로맨틱,리조트,화이트,티셔츠,반팔,저지,무지,라운드넥,루즈,미니,베이지,스커트,저지,노멀
1089011,로맨틱,,스카이블루,블라우스,반팔,우븐,무지,,노멀,발목,스카이블루,청바지,데님,스키니
1090337,로맨틱,,브라운,블라우스,긴팔,우븐,무지,라운드넥,노멀,발목,화이트,팬츠,저지,와이드
109046,로맨틱,스트리트,핑크,블라우스,긴팔,,,브이넥,루즈,미디,화이트,스커트,우븐,노멀
1090503,로맨틱,페미닌,베이지,블라우스,긴팔,우븐,무지,스퀘어넥,노멀,발목,블랙,청바지,데님,벨보텀
109053,로맨틱,스트리트,핑크,블라우스,긴팔,,,브이넥,루즈,미디,,스커트,우븐,노멀
1090537,로맨틱,스트리트,베이지,블라우스,긴팔,우븐,무지,브이넥,노멀,발목,베이지,팬츠,우븐,와이드
109054,로맨틱,스트리트,핑크,블라우스,긴팔,,,,루즈,미디,,스커트,우븐,노멀
1090541,로맨틱,스트리트,베이지,블라우스,긴팔,우븐,무지,브이넥,노멀,발목,베이지,팬츠,우븐,와이드
109056,로맨틱,스트리트,핑크,블라우스,긴팔,,,브이넥,루즈,미디,화이트,스커트,우븐,노멀
1090618,로맨틱,,핑크,블라우스,긴팔,우븐,무지,,노멀,발목,블랙,팬츠,스판덱스,스키니
109098,로맨틱,,핑크,블라우스,긴팔,,,,노멀,,블랙,,,
1091563,로맨틱,스트리트,와인,티셔츠,7부소매,우븐,무지,라운드넥,루즈,,스카이블루,,,
1091657,로맨틱,스트리트,화이트,탑,민소매,저지,무지,,노멀,발목,블루,청바지,데님,스키니
1091807,로맨틱,소피스트케이티드,와인,탑,민소매,우븐,무지,라운드넥,노멀,미니,화이트,스커트,우븐,노멀
1091810,로맨틱,소피스트케이티드,와인,탑,민소매,우븐,무지,라운드넥,노멀,미니,화이트,스커트,우븐,노멀
1091821,로맨틱,스트리트,블랙,탑,민소매,우븐,무지,라운드넥,노멀,발목,화이트,팬츠,데님,스키니
1091871,로맨틱,스트리트,화이트,티셔츠,반팔,우븐,레터링,라운드넥,노멀,미니,핑크,스커트,우븐,노멀
1092385,로맨틱,,핑크,셔츠,반팔,우븐,그래픽,라운드넥,루즈,발목,화이트,팬츠,우븐,스키니
1093066,로맨틱,,화이트,티셔츠,반팔,저지,,라운드넥,타이트,발목,스카이블루,청바지,데님,벨보텀
109345,로맨틱,페미닌,베이지,블라우스,긴팔,,플로럴,,노멀,미디,핑크,스커트,우븐,노멀
109569,로맨틱,페미닌,화이트,블라우스,긴팔,,,라운드넥,노멀,미디,핑크,스커트,우븐,노멀
1097258,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,실버,스커트,자카드,루즈
1097260,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,실버,스커트,자카드,루즈
1097270,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,실버,스커트,자카드,루즈
1097290,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,실버,스커트,자카드,루즈
1097300,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,실버,스커트,자카드,루즈
